cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,uptime,power_consumption
57.81,81.78,84.31,27.58,176,1334,6550,20.39,47.77,4.86,240.89
17.1,41.93,33.51,5.0,85,374,2188,11.28,31.38,58.58,162.72
49.22,34.27,60.64,19.98,111,1409,6041,17.74,52.03,348.9,274.58
55.97,42.4,82.63,18.48,112,1265,6482,18.16,43.34,6823.54,274.24
45.29,74.56,68.04,20.68,117,765,4586,20.34,42.9,1420.79,283.82
95.5,53.65,101.52,11.42,230,760,5690,26.05,62.48,1.07,345.21
42.41,54.4,55.69,20.31,117,990,4424,19.58,44.05,749.77,229.35
91.97,85.61,112.78,13.72,236,1763,8816,26.23,63.02,26.39,411.25
89.72,82.44,109.45,13.9,220,2185,10081,25.79,61.94,174.4,352.06
92.04,64.11,127.92,12.18,215,2500,10917,24.48,61.78,3.51,357.25
58.62,50.45,92.91,15.39,158,1409,6420,18.54,49.81,28.94,265.54
54.51,14.34,54.38,39.5,149,947,5680,15.49,49.31,9723.83,276.79
5.0,5.0,20.0,13.95,78,437,2032,6.89,30.0,20.2,198.77
78.92,47.52,85.51,27.07,197,2184,9785,21.3,61.05,323.54,343.37
13.09,8.23,20.82,9.59,64,442,1000,8.72,38.26,10.03,207.66
10.61,24.84,29.15,47.04,60,529,2551,22.63,34.28,381.37,187.37
40.32,43.32,50.1,45.67,110,346,2745,17.63,43.25,21.22,293.16
11.0,17.84,20.0,13.77,48,392,1911,10.34,37.04,14478.2,156.43
45.65,33.62,95.35,20.4,108,673,3903,25.24,50.19,751.39,239.84
5.0,35.98,31.06,18.71,36,224,1649,13.59,30.0,1217.62,182.18
5.0,28.73,20.0,14.0,47,245,1168,13.71,32.18,2869.99,195.67
90.81,79.69,107.73,8.41,175,1337,7406,28.48,61.64,10528.35,391.11
5.0,5.0,20.0,21.53,82,694,2210,7.02,84.27,851.35,194.73
78.02,75.28,94.14,15.76,186,1417,8500,24.68,56.22,2321.87,313.13
92.23,72.01,106.15,40.29,186,1677,9015,24.81,68.01,238.9,311.29
22.07,33.36,38.77,13.0,59,232,1549,11.89,41.2,25.28,170.76
6.98,14.01,56.33,10.7,39,494,2455,10.62,30.0,7.58,184.84
49.27,24.4,53.55,19.95,186,1239,5601,16.55,49.8,3.31,286.85
81.69,77.17,103.75,16.32,264,2500,11112,23.99,60.08,18.16,335.35
10.5,30.8,23.23,27.76,22,144,1000,11.86,30.0,7171.87,239.12
18.8,10.09,28.48,19.57,30,121,1827,14.02,37.29,1583.13,229.4
5.46,23.57,34.86,38.5,60,127,1000,10.05,33.17,9588.39,238.04
96.06,77.65,123.68,11.55,264,616,5479,32.21,63.52,136.91,357.92
15.79,23.88,25.51,7.72,20,100,1000,11.56,33.21,6.23,186.74
5.0,20.25,20.0,7.82,20,100,1000,8.36,30.0,8.28,229.46
43.19,56.41,61.02,10.09,95,847,5502,20.62,43.3,94.08,240.66
47.85,30.42,53.81,21.87,128,1520,6583,18.85,44.13,858.31,228.91
85.46,52.3,102.28,70.92,217,1330,7072,22.85,66.87,3.36,350.6
11.34,49.03,70.48,28.31,49,378,1437,13.66,31.53,91.83,224.86
46.19,38.46,53.47,65.8,143,1185,5865,25.23,45.1,26.17,292.19
82.66,63.71,92.64,20.52,189,601,5661,25.08,56.89,7079.18,341.85
92.52,53.53,95.77,6.33,234,2404,11102,28.35,62.13,895.7,357.07
69.59,78.86,139.11,8.55,254,1172,7447,26.91,86.11,2.61,369.01
51.72,67.38,73.01,23.6,142,826,4512,20.12,48.23,48.12,263.93
55.52,28.95,59.02,48.97,135,734,4697,16.28,48.91,8321.95,264.22
5.0,8.18,36.09,10.13,27,225,1000,7.25,30.0,335.62,150.0
95.55,57.23,111.27,14.15,263,2370,11502,24.4,66.75,22.54,329.06
6.85,26.16,20.0,10.42,92,761,2543,9.43,32.5,16.29,150.0
9.5,5.0,20.0,27.43,21,100,1433,7.3,34.26,4.7,204.49
89.23,83.95,111.75,17.22,229,1607,8441,27.56,60.66,11204.69,375.11
47.42,27.53,62.27,41.56,138,958,4333,17.75,42.45,1.1,221.49
11.91,30.1,33.96,33.35,34,270,1303,12.82,38.59,69.81,202.39
10.92,17.71,31.64,63.99,30,248,1000,10.88,33.69,3.38,214.5
81.18,62.14,100.69,18.3,250,1531,6962,24.13,56.59,190.36,348.5
93.37,92.97,150.97,19.65,250,2500,11809,28.06,68.61,1.57,371.35
40.43,51.44,70.35,51.28,164,1273,5647,23.62,49.04,58.09,272.04
46.24,47.38,78.5,12.76,156,1703,6676,20.88,50.62,925.37,208.51
50.93,37.19,67.76,19.15,144,1472,7073,16.95,49.78,1.12,296.39
16.54,39.96,39.43,17.69,54,686,2795,11.51,36.39,92.3,226.01
15.23,28.92,29.16,12.98,90,338,1188,10.66,34.36,6.19,214.38
83.74,66.66,99.54,22.97,228,1269,6841,23.12,62.72,4.78,289.53
95.16,76.63,108.85,22.31,221,1824,8752,25.5,62.82,94.48,381.38
85.17,60.17,95.78,53.22,236,1429,8297,23.19,62.63,202.49,277.68
24.15,37.15,47.69,20.57,133,564,3273,16.28,41.33,21.76,218.69
7.39,32.83,33.0,12.26,36,255,1000,9.02,34.9,46.01,164.19
98.29,95.0,132.07,13.75,256,1344,8038,29.16,70.95,1700.05,370.59
24.19,19.91,33.07,18.61,72,697,2066,10.39,42.49,502.85,275.92
57.27,53.74,72.56,9.75,161,652,4574,21.94,56.36,61.05,288.6
47.41,51.03,62.38,14.91,122,1315,6545,17.36,43.38,2155.43,231.42
51.38,42.7,77.26,13.03,119,1247,5074,16.33,45.42,1.11,313.55
49.58,24.58,75.42,5.0,106,604,4028,22.41,48.7,67.69,243.38
99.6,39.39,63.33,15.54,111,408,3509,20.14,55.47,52.77,296.22
47.93,46.98,62.75,20.95,94,1092,4596,15.98,50.12,6.47,247.04
54.1,59.88,93.36,5.99,111,586,4150,20.6,51.09,536.93,301.11
84.7,66.07,112.12,11.82,210,2155,9951,23.12,60.86,5.32,292.09
51.86,31.25,62.12,22.36,149,1778,7574,17.38,47.36,22.85,264.89
86.66,47.93,93.4,5.12,236,2500,10712,21.93,64.12,1.24,331.96
47.21,10.64,76.37,13.55,131,1300,6270,14.96,48.53,32.04,231.01
91.09,68.94,112.18,16.07,225,2500,11430,26.4,61.95,65.96,322.4
83.98,56.9,91.97,9.65,191,1770,8635,28.04,59.46,1.94,328.66
5.55,12.99,20.0,9.43,66,382,1252,13.18,30.0,6.58,194.48
48.5,54.83,64.21,26.49,158,1798,6925,23.14,51.42,137.28,220.89
47.71,55.15,79.13,38.41,194,1867,5989,18.42,44.11,11220.84,287.95
56.05,48.07,80.29,8.57,152,1139,6265,20.85,57.48,69.05,263.58
87.89,55.69,93.45,40.15,203,1859,9500,24.92,62.3,1128.17,353.6
53.6,18.46,67.8,25.81,156,1502,7135,20.39,52.52,152.24,257.75
55.68,33.19,61.03,15.77,129,1102,4903,16.93,48.97,9130.48,280.52
45.17,41.4,64.7,5.0,153,958,4494,20.5,45.92,1721.46,259.15
10.05,6.51,24.67,11.39,47,393,2147,13.81,32.78,471.15,189.08
11.55,5.0,20.0,7.71,50,176,1000,9.74,33.36,268.64,218.81
5.0,26.53,20.0,52.16,56,313,1460,10.11,30.0,1521.98,205.25
93.79,79.8,123.62,8.98,238,1006,6324,35.0,61.71,9.11,398.11
83.18,70.22,97.51,13.1,209,2181,9491,24.46,68.18,1.64,304.91
93.77,45.82,100.39,17.19,223,1635,8431,25.45,60.5,7904.84,341.68
8.84,22.29,46.04,10.0,53,230,1000,10.89,30.0,1150.38,209.33
86.77,80.59,105.05,24.05,237,1984,9636,25.09,65.6,4499.91,338.36
48.52,47.31,61.29,26.72,91,909,4930,18.74,46.13,17.56,273.84
73.93,58.46,82.53,9.66,217,1256,6546,31.71,57.18,272.35,336.49
18.95,37.9,30.51,14.14,47,585,1741,11.67,31.03,32.2,207.7
98.76,60.61,105.26,13.64,257,2500,11258,25.57,67.66,495.96,412.12
23.62,10.27,36.27,39.15,52,133,1531,10.18,35.32,5.38,213.49
97.83,49.68,103.73,14.75,221,2500,11209,24.13,65.13,13.8,373.33
62.13,47.66,73.56,21.85,159,1625,7281,26.94,54.83,2409.69,296.51
12.27,5.0,20.0,6.33,82,302,1311,7.82,39.46,1.0,277.69
19.28,17.18,54.79,20.33,24,351,1846,11.29,35.42,3438.73,207.59
94.47,83.67,111.18,14.25,206,1734,8773,27.53,60.75,3.53,378.98
5.76,24.2,65.22,17.98,45,184,1000,8.02,30.0,4826.21,186.78
92.67,63.48,101.84,38.88,240,1481,8201,24.49,61.43,29.72,368.99
87.02,57.26,96.05,12.9,264,1871,8967,23.21,62.13,3.19,352.36
5.0,5.0,20.0,12.11,49,496,1018,7.41,30.0,20.04,165.53
5.0,24.54,32.82,26.89,53,285,1610,15.01,30.64,165.36,217.82
93.94,81.77,136.74,9.04,256,2500,11698,29.31,70.57,538.3,333.84
91.38,64.11,104.57,24.26,215,2225,10265,31.1,57.8,13214.5,398.96
12.59,43.86,60.93,6.76,69,496,1937,13.51,36.41,2582.8,254.95
86.18,55.87,98.22,12.35,191,1774,8468,26.64,62.93,1.32,300.61
88.36,66.96,128.58,25.39,258,1915,8694,25.84,60.88,2106.67,304.2
92.23,76.22,117.69,18.83,226,952,5699,30.4,67.71,1.85,382.63
84.11,48.89,139.13,8.94,185,1000,6117,24.37,59.13,2.1,331.05
54.54,71.95,75.1,30.3,147,585,3349,19.37,47.54,835.41,278.45
89.5,86.13,121.88,21.35,270,2500,11658,27.74,63.87,12.56,343.0
50.57,52.8,70.34,32.34,171,796,4694,19.35,46.27,5.83,240.1
88.09,90.51,158.93,32.29,216,1431,7297,30.39,63.64,94.04,374.48
56.69,46.28,69.24,20.64,190,1581,6715,23.42,53.71,521.21,284.44
34.27,52.65,57.47,22.71,94,698,3792,16.35,40.37,4.85,285.18
10.46,43.82,26.51,40.79,77,460,1919,12.12,35.3,102.67,218.08
80.84,39.94,88.27,11.19,190,1604,7373,20.79,58.02,434.58,335.05
81.02,60.18,104.79,19.16,219,1693,8701,23.7,66.74,3526.45,317.3
5.05,13.43,20.0,17.54,20,100,1000,11.24,31.34,6.18,150.0
92.35,68.28,101.69,13.18,206,1165,7728,24.82,71.88,37.98,351.21
5.0,29.6,25.61,24.19,60,718,2543,8.49,30.0,136.35,194.39
36.68,22.32,45.98,11.2,123,576,3017,14.28,40.87,7.61,293.5
27.64,47.01,57.53,13.92,74,485,2368,13.29,40.62,2.12,230.77
46.73,50.79,62.59,11.51,164,1686,7035,16.37,48.21,43.59,279.84
42.18,68.86,99.41,14.07,88,417,3252,22.86,47.02,486.78,258.58
42.78,55.46,60.62,10.72,109,769,3382,17.24,50.2,1.1,254.16
89.69,79.95,115.51,12.38,190,1448,7469,25.2,65.06,5.38,376.27
10.23,10.56,20.0,23.95,56,540,1895,11.01,32.09,193.77,190.18
84.19,74.73,97.8,12.92,200,1216,6750,26.13,58.67,58.98,327.69
16.94,18.52,27.91,26.71,61,435,2019,9.27,36.18,59.5,212.51
5.0,11.58,20.0,39.74,61,727,1954,10.2,33.16,157.49,185.46
9.43,22.9,22.06,18.0,63,767,2687,8.79,32.82,145.43,202.85
89.79,59.05,101.83,10.56,224,1684,9415,25.64,62.6,4.52,357.37
22.76,19.08,28.48,16.27,78,406,2869,17.92,39.82,7813.69,258.85
68.92,33.36,76.19,12.11,177,798,4090,18.17,55.35,509.41,345.18
5.0,5.0,20.0,13.07,69,862,2580,7.42,30.0,4051.59,199.35
13.88,12.58,20.0,12.16,72,781,3836,8.29,36.68,6253.92,262.76
40.62,40.13,56.51,6.47,126,979,5114,15.83,43.31,3.51,239.41
47.74,20.93,55.77,19.29,115,495,3146,14.81,44.74,2254.35,238.73
47.19,22.33,54.45,27.23,150,1040,4846,15.97,48.38,95.61,293.62
16.15,13.82,31.62,22.92,77,273,1683,10.14,41.39,2.92,178.56
20.94,41.38,37.73,23.08,99,394,1574,11.73,37.6,76.21,219.08
80.82,32.77,87.64,11.33,186,742,5685,23.54,59.46,1.44,344.52
88.55,71.87,112.5,44.02,235,772,5236,25.0,60.32,10333.43,377.82
73.86,63.39,96.1,35.63,198,1980,8947,21.51,57.38,103.69,338.98
77.4,53.81,107.99,16.72,210,1070,6563,21.24,55.47,12121.52,354.28
12.8,36.37,39.49,31.27,64,752,3373,11.11,35.67,2.58,199.51
47.7,31.1,55.35,10.48,118,539,3335,19.76,47.85,5275.2,277.5
87.42,68.06,105.51,11.23,211,2196,9461,25.75,72.51,294.82,404.59
50.75,45.35,67.23,7.22,137,932,4642,18.97,48.66,12361.25,309.08
86.4,73.75,114.19,14.53,215,2281,10206,28.88,56.88,11.58,314.47
19.66,17.41,25.59,11.32,77,743,2563,12.38,38.26,6.04,189.57
52.9,23.98,96.18,18.34,168,1396,6613,16.05,51.05,23.88,267.92
40.55,11.36,43.11,16.44,61,593,3957,14.75,50.3,84.12,262.54
5.0,23.21,30.13,40.89,64,566,1679,10.95,34.78,2916.65,197.12
15.13,5.0,42.22,30.4,105,1352,5582,8.11,38.99,7085.0,208.79
50.07,44.68,71.95,100.0,158,712,4244,17.28,46.45,5.77,259.09
45.11,31.87,50.46,14.13,124,667,3426,15.77,41.78,1.7,282.87
59.1,58.99,85.38,11.56,130,972,5699,23.64,54.92,6289.36,275.39
81.98,53.34,90.84,10.34,194,1181,6618,24.27,61.25,4917.21,376.5
9.75,29.77,49.6,19.64,20,154,1000,15.3,30.05,4056.76,229.31
64.03,58.42,83.63,18.23,201,1058,5545,20.53,53.04,4.22,279.39
58.88,54.37,77.84,13.88,159,715,3816,19.34,49.26,405.62,311.07
13.29,23.68,25.29,39.39,74,648,2796,11.95,34.15,6195.44,220.63
89.93,53.92,119.83,15.27,202,1819,9329,24.07,59.71,17.36,335.31
97.43,60.53,113.41,18.19,290,2500,10595,27.64,62.53,525.47,380.4
60.2,35.82,69.85,36.33,128,410,3945,18.47,48.21,6.97,255.64
51.73,92.0,58.71,48.07,102,1259,5826,32.67,51.04,21.45,273.09
22.57,38.22,65.8,6.51,100,1033,4816,13.0,42.81,24.56,240.53
83.77,56.96,109.47,10.65,191,1729,8616,22.32,60.23,9086.65,337.46
12.33,10.44,31.92,17.74,47,419,1000,15.01,36.03,2.5,206.1
45.57,49.75,66.53,13.25,105,948,4208,15.82,50.0,2.1,237.77
8.25,21.05,47.7,6.49,94,705,1771,10.36,38.23,380.98,179.32
7.89,35.31,34.33,14.86,72,448,1806,15.04,30.0,6186.52,222.74
13.58,5.0,34.66,8.6,50,478,2847,12.17,37.77,19.6,192.52
16.42,23.68,36.86,13.73,75,280,1031,11.36,40.92,45.39,225.35
56.76,64.59,73.38,19.24,168,1411,6851,20.44,50.16,887.36,283.53
45.51,49.72,74.15,23.28,161,557,3625,18.32,51.72,667.83,266.07
98.73,95.0,125.76,18.23,257,2166,9965,27.66,65.07,2652.57,427.92
5.31,35.48,20.0,28.14,32,220,1000,13.29,35.53,5813.28,245.17
55.3,29.64,75.65,8.18,196,1630,7212,20.75,51.03,894.16,311.6
59.53,37.01,86.72,15.76,155,535,3237,23.49,50.0,10.78,293.03
69.38,84.4,103.47,5.16,219,1589,8370,25.74,86.7,15.14,315.7
55.89,41.33,64.27,30.41,122,353,2045,17.52,52.4,3.18,268.82
41.71,15.61,43.42,26.74,119,405,2220,14.76,49.45,52.48,262.56
51.74,40.23,86.73,12.28,158,1470,5982,16.1,49.17,14.97,252.08
17.35,42.07,45.46,80.87,57,858,3542,11.48,32.89,8.2,165.93
9.46,96.32,31.62,13.46,48,457,1000,17.23,32.72,296.62,212.75
94.48,48.2,100.47,8.93,241,1853,8768,24.46,65.28,3111.75,354.32
84.6,87.44,132.41,13.59,194,1209,6471,25.6,58.76,1295.81,366.59
46.23,49.31,57.39,5.0,139,1124,5869,17.66,40.7,8.88,319.79
6.59,42.54,34.29,26.37,81,617,2057,10.3,35.27,68.59,199.34
82.84,31.3,90.66,17.79,158,1333,7647,21.39,66.03,27.06,354.18
15.32,21.83,28.07,8.98,76,740,3912,11.73,38.15,26.23,218.69
58.96,48.02,74.19,19.18,154,906,5536,18.81,54.14,4598.56,294.52
38.45,23.94,49.52,12.15,75,663,3503,20.53,43.19,11.34,278.91
5.0,30.37,80.71,24.59,29,406,1091,12.68,30.49,262.7,203.59
77.24,54.88,84.31,20.73,181,1576,7867,29.58,58.0,13381.36,328.49
5.51,33.65,24.17,21.43,30,100,1000,10.23,36.61,45.52,161.69
51.86,59.91,82.26,22.02,89,437,3500,20.0,49.16,32.66,267.65
11.09,6.48,20.0,11.37,50,522,1221,9.44,39.9,604.47,173.51
99.6,65.33,122.38,36.29,218,2443,10866,31.67,69.1,2.91,360.79
51.22,24.28,57.36,25.17,145,1130,5649,19.99,45.56,79.27,224.18
77.44,35.89,86.33,6.92,176,1670,8360,20.02,58.79,3.05,305.59
9.14,32.45,37.63,18.76,69,514,2254,11.84,35.92,3326.06,215.13
5.0,24.1,20.0,5.19,50,100,1000,7.7,30.77,25.5,150.0
10.25,30.29,53.47,13.65,74,495,2326,10.25,33.67,7.17,191.54
18.79,49.5,53.31,39.59,90,755,2692,18.66,36.03,1432.33,193.08
92.88,57.39,136.04,16.47,267,1823,9469,24.24,66.88,4.21,335.35
87.22,65.87,103.09,18.31,248,2186,9165,31.37,65.33,68.44,337.5
10.58,27.96,77.88,36.13,46,256,1105,15.01,36.09,3.68,208.13
17.73,47.72,51.5,29.47,31,219,1701,11.93,38.74,635.23,227.09
54.15,64.73,110.99,14.65,136,385,3022,20.64,49.37,11476.18,296.65
23.03,38.39,34.12,30.33,103,473,2149,16.98,36.37,3.7,269.33
81.69,33.57,83.86,11.47,262,2500,10774,26.87,58.9,1461.13,308.42
92.44,37.26,100.03,6.54,242,1235,7564,23.5,63.32,28.2,350.69
13.15,34.84,66.61,8.33,56,457,1093,10.05,39.59,570.88,276.92
92.07,66.94,127.97,12.55,236,974,7081,25.77,69.43,7.56,304.6
93.34,51.05,97.64,30.38,229,1927,9561,28.44,65.79,672.07,343.31
16.03,22.45,51.71,15.22,65,216,1000,9.29,41.42,4.56,221.15
63.28,40.36,74.91,27.97,156,674,5081,21.14,52.87,85.47,327.9
43.94,45.29,56.25,39.33,144,1513,6917,22.54,44.9,459.88,267.48
91.14,57.54,102.33,22.31,186,1997,9854,23.51,63.23,2766.44,374.49
86.75,79.46,109.41,8.07,210,2020,9326,34.52,60.94,1.21,364.8
82.16,68.37,102.68,20.4,182,1916,9067,24.09,61.17,11.4,330.01
40.54,52.48,81.2,42.38,132,1160,6875,18.78,84.43,14442.6,279.89
79.83,60.95,105.33,25.9,221,1328,8262,22.32,62.45,1.37,324.07
89.99,68.94,117.07,13.04,221,922,6272,24.11,62.18,3.62,332.0
47.32,61.6,88.87,14.38,150,1650,6944,22.4,45.26,1.3,317.28
97.03,77.42,119.71,14.88,270,2473,12022,26.75,63.15,25.93,365.8
5.0,25.9,36.43,13.48,54,237,2148,8.54,34.91,10.62,178.11
58.53,63.73,76.19,30.4,166,1117,5223,22.88,52.09,84.3,263.4
48.81,71.1,99.78,24.24,148,881,4931,24.62,50.87,13892.92,288.56
82.16,66.56,112.88,27.77,182,1182,6708,23.5,56.48,262.77,336.13
9.06,23.7,24.55,19.95,42,486,1805,9.4,34.25,66.98,170.38
20.63,38.67,48.63,100.0,34,561,1631,13.21,38.35,354.45,257.81
14.32,8.91,20.0,14.21,81,616,2062,9.98,37.06,3.18,195.31
5.38,20.52,28.11,10.83,61,405,1902,12.62,30.0,20.54,165.96
50.08,22.12,53.59,35.48,138,1052,6281,22.71,52.84,10125.87,285.14
56.85,61.31,73.14,25.82,110,493,3915,23.87,53.35,3896.13,225.92
72.81,34.64,89.86,6.11,169,709,5757,25.03,54.17,36.83,289.37
57.07,43.1,72.98,30.65,204,1674,7644,17.37,49.54,7590.21,256.0
65.07,69.4,94.57,15.28,189,1815,8609,23.2,53.44,3866.49,272.13
45.21,66.59,63.04,8.75,117,722,3504,18.58,50.78,10860.13,318.07
46.54,23.74,49.8,8.97,133,878,5159,20.82,44.2,2.32,250.52
5.0,40.29,27.05,6.62,36,100,1025,12.31,33.14,64.32,204.88
84.79,66.5,171.82,7.86,164,1276,7836,24.58,58.42,9501.57,355.0
46.0,51.34,57.99,35.16,137,1670,6545,28.03,43.58,131.9,244.26
49.97,63.23,76.07,7.27,180,1964,8709,18.66,48.45,55.73,255.68
86.37,68.59,115.55,17.45,207,1709,8917,30.46,65.16,9750.47,384.6
53.38,38.47,87.27,15.54,113,420,3201,16.31,46.64,1821.66,276.92
86.72,95.0,114.84,9.95,243,866,5806,29.94,59.81,3415.13,347.0
47.53,33.06,62.29,17.53,133,1355,6020,15.72,49.01,45.76,261.68
12.43,35.75,31.65,13.92,65,196,1405,11.06,34.04,452.66,186.5
83.16,51.62,104.79,10.06,228,1200,6818,23.86,56.45,101.74,258.28
14.94,11.13,20.0,30.91,25,154,1312,20.19,39.6,379.53,195.96
15.23,5.0,20.0,11.08,66,178,1000,8.55,30.0,1.54,230.68
5.0,5.0,37.85,8.98,20,334,1000,6.2,30.13,36.68,198.77
35.53,49.34,58.92,19.2,110,1293,6147,18.6,80.72,119.9,208.44
73.84,71.69,121.29,5.94,252,821,6131,26.4,89.96,631.08,318.74
53.06,54.59,98.15,8.02,142,790,4919,24.31,47.05,5.95,248.37
89.55,55.85,97.36,40.79,267,2500,10485,24.92,63.35,447.94,332.25
88.49,52.5,234.49,15.46,247,2349,13640,22.92,63.71,14.19,422.09
51.39,35.87,59.49,22.08,118,409,2864,17.15,44.24,29.51,281.72
83.45,60.15,93.44,8.08,187,779,5545,25.33,61.18,239.59,312.67
8.91,24.2,41.65,6.94,45,544,2423,8.51,33.21,1.13,193.58
32.06,28.51,69.22,23.13,49,471,2312,15.26,46.93,14.0,268.81
96.27,82.79,111.97,23.49,212,1238,8166,26.31,62.54,1.03,381.91
84.99,93.12,111.08,18.33,227,934,6421,25.93,62.47,315.05,334.52
47.02,54.07,111.81,11.26,171,1336,5597,19.77,44.19,25.56,259.45
52.55,36.91,249.68,13.94,133,516,3975,16.42,47.59,6.32,305.34
11.07,11.07,20.0,7.49,45,393,1150,8.12,33.37,203.28,166.57
45.65,11.02,74.86,13.81,113,816,4006,13.89,46.73,9893.99,273.26
85.97,55.92,130.32,30.75,242,2208,9715,22.46,60.67,182.7,335.84
95.73,75.92,121.7,8.12,217,2228,11091,26.84,61.13,239.31,327.95
90.3,51.95,97.01,32.88,226,2192,9991,24.56,63.35,21.46,354.3
92.46,69.71,108.25,26.81,233,1589,7976,26.07,63.48,161.72,367.0
48.69,17.92,49.89,14.13,119,1163,4992,17.0,47.58,4173.44,291.32
52.98,56.89,96.03,14.63,147,721,4357,18.27,43.15,147.97,240.37
21.74,36.41,39.48,14.02,127,1264,4202,15.67,42.98,438.6,270.62
84.16,70.93,132.09,20.92,198,1462,7892,27.17,61.14,3.66,283.57
87.17,83.18,113.86,29.95,254,2385,10817,24.89,60.65,896.27,392.85
5.0,43.59,36.79,20.63,59,316,1960,18.33,32.16,440.4,151.19
93.09,72.62,114.24,45.52,235,2500,11206,26.96,57.63,699.66,389.89
14.93,9.25,50.04,16.5,20,232,1053,11.42,35.78,300.36,202.1
48.21,33.6,73.79,42.19,137,489,4130,20.41,45.82,9520.72,227.48
85.82,74.5,109.21,23.65,177,1552,8073,25.1,60.67,970.82,306.27
52.57,54.48,79.67,9.53,182,1264,5623,25.23,42.8,3.75,251.03
7.3,38.5,21.29,8.29,31,287,1527,14.42,36.68,3349.46,207.16
24.18,8.93,23.82,32.59,63,719,3037,16.34,42.42,2016.25,244.13
48.54,45.69,68.56,33.67,105,870,5328,15.95,47.0,1.67,236.57
11.63,5.0,29.45,18.41,60,446,1547,11.82,38.91,148.65,173.73
16.67,15.34,20.5,24.43,62,535,3072,9.53,33.07,403.7,230.31
13.66,43.45,36.85,29.85,70,625,2342,15.09,36.45,46.01,185.99
49.76,62.33,96.94,21.89,98,489,3324,21.33,51.68,271.79,289.66
95.24,95.0,114.91,19.25,211,1059,7253,28.43,62.38,22.37,411.82
91.42,60.12,114.41,16.97,224,2285,9809,25.08,63.22,156.53,346.99
25.37,24.61,41.85,5.0,67,456,1994,17.2,38.94,11699.3,193.11
47.67,27.5,58.33,37.13,189,721,4156,14.56,47.7,2.09,283.66
50.87,29.25,65.13,13.82,119,1314,6323,28.71,48.69,4.36,262.44
52.65,49.97,94.65,17.26,129,1478,6042,18.01,56.13,23.59,287.19
37.77,30.86,55.22,11.56,129,889,3633,14.84,47.94,123.7,229.93
46.85,39.06,66.41,18.27,144,1469,6185,18.49,44.93,7.38,206.3
83.03,62.06,104.93,22.37,178,1638,8717,25.82,59.45,102.85,351.66
9.79,5.0,20.0,13.71,52,204,1625,13.64,30.02,498.21,200.39
89.45,67.88,99.51,16.22,225,1389,7853,23.93,60.67,1655.47,320.56
85.89,83.82,103.35,8.99,169,1107,6998,25.78,64.56,314.66,351.31
76.13,51.86,108.22,15.53,218,2476,9836,20.57,60.9,582.84,343.71
44.16,40.52,78.42,10.92,154,903,4624,22.85,47.67,6675.5,230.97
8.25,29.54,75.57,5.0,60,293,1550,8.99,30.0,23.13,235.95
41.21,21.39,52.25,8.14,105,929,4322,13.92,45.65,5.45,263.03
55.44,50.86,89.59,11.46,149,1030,5384,17.63,45.74,10.09,286.31
81.92,38.35,93.17,19.86,208,1863,8085,24.9,63.83,24.28,278.14
51.5,21.05,49.89,13.71,134,939,5773,16.83,51.84,33.68,274.13
51.81,82.98,79.34,27.4,134,1275,6450,21.07,46.32,135.35,294.24
92.88,72.99,110.22,11.51,206,2205,10037,35.0,60.47,1.81,356.15
84.54,56.61,94.85,12.48,195,1740,8318,24.41,60.84,2.35,310.59
89.37,55.63,173.75,6.13,213,689,5437,26.08,59.72,840.78,339.75
49.45,26.98,54.93,29.21,152,1572,6296,18.25,44.73,7.04,285.19
49.9,57.86,67.03,86.08,139,742,4928,17.47,49.65,139.25,333.81
48.85,44.11,80.01,9.9,178,916,5688,24.32,87.11,646.05,295.24
50.97,42.89,75.13,11.15,168,644,3977,21.49,48.77,756.84,307.14
91.66,50.7,101.55,18.04,253,1092,7358,24.35,63.7,126.22,376.03
47.82,42.66,61.78,6.45,129,1650,6399,18.64,50.13,212.29,283.39
18.2,5.0,92.54,7.51,89,891,3161,9.81,38.69,45.53,203.99
89.2,63.45,179.86,18.68,197,1235,6804,27.69,62.71,41.04,297.35
94.42,53.82,108.62,6.35,216,1935,9936,25.77,61.04,4302.1,373.62
14.72,34.73,34.32,10.73,51,122,1468,14.71,36.97,43.98,225.08
50.9,44.53,59.28,12.94,113,745,3883,17.63,51.78,1.43,275.0
5.0,6.78,20.0,7.72,20,355,1423,7.19,30.0,251.27,162.73
10.69,20.18,20.83,14.04,54,393,1693,13.2,34.34,540.93,246.46
7.77,17.49,20.0,11.61,20,183,1174,10.25,32.65,3045.77,191.45
48.31,36.97,54.55,11.41,106,758,3743,15.31,47.6,452.46,270.58
6.14,30.83,88.16,8.2,63,507,1988,15.38,34.65,59.22,230.09
47.99,5.0,77.14,13.87,141,728,3706,16.64,50.84,3.49,281.53
53.63,17.88,53.71,16.93,153,1628,7344,17.22,51.7,4583.38,256.33
51.9,27.2,67.59,7.59,135,646,3875,16.1,46.61,23.48,254.16
90.79,50.65,99.88,46.17,195,1694,7418,25.67,62.43,885.37,322.43
92.31,83.65,111.59,5.29,220,829,5944,25.87,60.96,999.96,345.64
13.09,47.8,37.43,38.25,72,282,1366,11.44,34.51,36.16,217.16
51.39,67.56,109.86,21.32,152,558,3224,18.33,42.93,4100.92,296.86
41.94,44.74,74.88,28.89,145,704,3944,18.24,50.58,1189.57,237.59
